ID	group	phase	no.obs	elo	min.total	min.given	min.received	agg.received.total	agg.received.contact	agg.received.nocontact	agg.given.total	agg.given.contact	agg.given.nocontact	raw.groom.rate	raw.aggRec.rate	raw.aggGiven.rate	raw.aggRec.contact.rate	raw.aggRec.nocontact.rate	raw.aggGiven.contact.rate	raw.aggGiven.nocontact.rate	raw.groomRec.rate	raw.groomGiven.rate
JS	RSi10_SGE1	1	50	499	96.303	42.718	53.585	121	4	117	149	4	145	3.85212	4.84	5.96	0.16	4.68	0.16	5.8	2.1434	1.70872
NI	RSi10_SGE1	1	50	349	266.02	115.329	150.691	171	6	165	15	0	15	10.6408	6.84	0.6	0.24	6.6	0	0.6	6.02764	4.61316
OV	RSi10_SGE1	1	50	921	252.94	148.097	104.843	89	1	88	31	3	28	10.1176	3.56	1.24	0.04	3.52	0.12	1.12	4.19372	5.92388
SI	RSi10_SGE1	1	50	1225	191.945	89.923	102.022	8	0	8	116	2	114	7.6778	0.32	4.64	0	0.32	0.08	4.56	4.08088	3.59692
FD	RWu12_SGE1	1	50	756	142.925	114.858	28.067	91	8	83	24	3	21	5.717	3.64	0.96	0.32	3.32	0.12	0.84	1.12268	4.59432
FM	RWu12_SGE1	1	50	1428	229.894	114.182	115.712	29	6	23	110	12	98	9.19576	1.16	4.4	0.24	0.92	0.48	3.92	4.62848	4.56728
SU	RWu12_SGE1	1	50	722	173.817	38.007	135.81	47	4	43	29	3	26	6.95268	1.88	1.16	0.16	1.72	0.12	1.04	5.4324	1.52028
WU	RWu12_SGE1	1	50	111	67.369	21.389	45.98	130	9	121	1	0	1	2.69476	5.2	0.04	0.36	4.84	0	0.04	1.8392	0.85556
WX	RWu12_SGE1	1	50	1933	247.285	142.209	105.076	5	0	5	138	9	129	9.8914	0.2	5.52	0	0.2	0.36	5.16	4.20304	5.68836
CW	VBB_SGE1	1	51	1824	184.834	109.858	74.976	0	0	0	113	7	106	7.24839215686274	0	4.43137254901961	0	0	0.274509803921569	4.15686274509804	2.94023529411765	4.3081568627451
JL	VBB_SGE1	1	51	356	53.245	11.776	41.469	42	2	40	1	0	1	2.08803921568627	1.64705882352941	0.0392156862745098	0.0784313725490196	1.56862745098039	0	0.0392156862745098	1.62623529411765	0.461803921568627
PY	VBB_SGE1	1	51	488	77.998	6.619	71.379	124	5	119	1	0	1	3.05874509803922	4.86274509803922	0.0392156862745098	0.196078431372549	4.66666666666667	0	0.0392156862745098	2.79917647058824	0.25956862745098
VB	VBB_SGE1	1	51	1370	142.485	62.588	79.897	1	1	0	74	1	73	5.58764705882353	0.0392156862745098	2.90196078431373	0.0392156862745098	0	0.0392156862745098	2.86274509803922	3.13321568627451	2.45443137254902
ZE	VBB_SGE1	1	51	862	167.294	122.087	45.207	42	3	39	20	3	17	6.56054901960784	1.64705882352941	0.784313725490196	0.117647058823529	1.52941176470588	0.117647058823529	0.666666666666667	1.77282352941176	4.78772549019608
AA	Aa11_SGE2	2	43	1580	252.882	146.867	106.015	1	0	1	191	3	188	11.7619534883721	0.0465116279069767	8.88372093023256	0	0.0465116279069767	0.13953488372093	8.74418604651163	4.93093023255814	6.83102325581395
FD	Aa11_SGE2	2	43	-37	118.861	73.057	45.804	269	7	262	6	0	6	5.52841860465116	12.5116279069767	0.27906976744186	0.325581395348837	12.1860465116279	0	0.27906976744186	2.13041860465116	3.398
